Designator,Mid X,Mid Y,Rotation,Layer
C1,124.0,-70.225,270.0,top
C10,119.739396,-98.190779,110.0,bottom
C11,135.209445,-99.544233,80.0,bottom
C12,149.283628,-92.981333,50.0,bottom
C13,158.190779,-80.260604,20.0,bottom
C2,159.544233,-64.790555,350.0,bottom
C3,152.981333,-50.716372,320.0,bottom
C4,140.260604,-41.809221,290.0,bottom
C5,124.790555,-40.455767,260.0,bottom
C6,110.716372,-47.018667,230.0,bottom
C7,101.809221,-59.739396,200.0,bottom
C8,100.455767,-75.209445,170.0,bottom
C9,107.018667,-89.283628,140.0,bottom
D1,100.0,-70.0,90.0,bottom
D10,130.0,-40.0,180.0,bottom
D11,115.0,-44.019238,150.0,bottom
D12,104.019238,-55.0,120.0,bottom
D2,104.019238,-85.0,60.0,bottom
D3,115.0,-95.980762,30.0,bottom
D4,130.0,-100.0,0.0,bottom
D5,145.0,-95.980762,330.0,bottom
D6,155.980762,-85.0,300.0,bottom
D7,160.0,-70.0,270.0,bottom
D8,155.980762,-55.0,240.0,bottom
D9,145.0,-44.019238,210.0,bottom
R1,137.0875,-69.0,180.0,top
R2,137.0875,-71.0,0.0,top
R3,119.0,-38.95,90.0,top
U1,130.0825,-44.689,0.0,top
U2,130.0,-70.0,270.0,top
